Size,Method,Threads,Time_Sec
256,RowMajor,1,0.000246
256,ColMajor,1,0.000552
256,NumpyStrided,1,0.000116
256,Morton,1,0.000267
256,Tiled,1,0.000101
256,RowMajor,2,0.000085
256,ColMajor,2,0.000466
256,NumpyStrided,2,0.000108
256,Morton,2,0.000332
256,Tiled,2,0.000126
256,RowMajor,3,0.000116
256,ColMajor,3,0.000507
256,NumpyStrided,3,0.000153
256,Morton,3,0.000412
256,Tiled,3,0.000134
256,RowMajor,4,0.000098
256,ColMajor,4,0.000502
256,NumpyStrided,4,0.000117
256,Morton,4,0.000303
256,Tiled,4,0.000152
256,RowMajor,5,0.000097
256,ColMajor,5,0.000536
256,NumpyStrided,5,0.000111
256,Morton,5,0.000264
256,Tiled,5,0.000138
256,RowMajor,6,0.000087
256,ColMajor,6,0.000470
256,NumpyStrided,6,0.000110
256,Morton,6,0.000276
256,Tiled,6,0.000138
256,RowMajor,7,0.000085
256,ColMajor,7,0.000522
256,NumpyStrided,7,0.000111
256,Morton,7,0.000320
256,Tiled,7,0.000099
256,RowMajor,8,0.000097
256,ColMajor,8,0.000473
256,NumpyStrided,8,0.000108
256,Morton,8,0.000267
256,Tiled,8,0.000109
256,RowMajor,9,0.000086
256,ColMajor,9,0.000482
256,NumpyStrided,9,0.000105
256,Morton,9,0.000264
256,Tiled,9,0.000111
256,RowMajor,10,0.000268
256,ColMajor,10,0.000729
256,NumpyStrided,10,0.000118
256,Morton,10,0.000320
256,Tiled,10,0.000103
256,RowMajor,11,0.000089
256,ColMajor,11,0.000604
256,NumpyStrided,11,0.000108
256,Morton,11,0.000274
256,Tiled,11,0.000146
256,RowMajor,12,0.000087
256,ColMajor,12,0.000483
256,NumpyStrided,12,0.000106
256,Morton,12,0.000263
256,Tiled,12,0.000133
256,RowMajor,13,0.000086
256,ColMajor,13,0.000486
256,NumpyStrided,13,0.000108
256,Morton,13,0.000290
256,Tiled,13,0.000142
256,RowMajor,14,0.000086
256,ColMajor,14,0.000474
256,NumpyStrided,14,0.000132
256,Morton,14,0.000269
256,Tiled,14,0.000100
256,RowMajor,15,0.000091
256,ColMajor,15,0.000519
256,NumpyStrided,15,0.000108
256,Morton,15,0.000269
256,Tiled,15,0.000097
256,RowMajor,16,0.000091
