method,N,threads,time
ijk,256,1,0.0435372
transposed,256,1,0.0257279
ikj,256,1,0.0210864
blocked,256,1,0.0170648
blocked_parallel,256,1,0.0169046
2d_tiled_parallel,256,1,0.018509
ijk,256,2,0.0291384
transposed,256,2,0.0201313
ikj,256,2,0.00829182
blocked,256,2,0.00634927
blocked_parallel,256,2,0.00825532
2d_tiled_parallel,256,2,0.0111695
ijk,256,4,0.0186437
transposed,256,4,0.00980006
ikj,256,4,0.00519435
blocked,256,4,0.00347256
blocked_parallel,256,4,0.00394567
2d_tiled_parallel,256,4,0.00627836
ijk,256,8,0.00986711
transposed,256,8,0.00581931
ikj,256,8,0.00323555
blocked,256,8,0.00282104
blocked_parallel,256,8,0.00423966
2d_tiled_parallel,256,8,0.00464684
ijk,256,16,0.00938486
transposed,256,16,0.0076482
ikj,256,16,0.00385905
blocked,256,16,0.00438227
blocked_parallel,256,16,0.00438399
2d_tiled_parallel,256,16,0.00433026
ijk,512,1,0.709155
transposed,512,1,0.140921
ikj,512,1,0.0647043
blocked,512,1,0.0741217
blocked_parallel,512,1,0.0676275
2d_tiled_parallel,512,1,0.0746817
ijk,512,2,0.391998
transposed,512,2,0.0889339
ikj,512,2,0.0431764
blocked,512,2,0.0540982
blocked_parallel,512,2,0.0437357
2d_tiled_parallel,512,2,0.0603047
ijk,512,4,0.267262
transposed,512,4,0.0688373
ikj,512,4,0.0376063
blocked,512,4,0.0304299
blocked_parallel,512,4,0.0305245
2d_tiled_parallel,512,4,0.0407564
ijk,512,8,0.22653
transposed,512,8,0.039665
ikj,512,8,0.0212139
blocked,512,8,0.0184506
blocked_parallel,512,8,0.0159238
2d_tiled_parallel,512,8,0.0274739
ijk,512,16,0.159123
transposed,512,16,0.0209129
ikj,512,16,0.0147792
blocked,512,16,0.0153087
blocked_parallel,512,16,0.0173577
2d_tiled_parallel,512,16,0.0219844
ijk,1024,1,7.00205
transposed,1024,1,1.44174
ikj,1024,1,0.757547
blocked,1024,1,0.467866
blocked_parallel,1024,1,0.670908
2d_tiled_parallel,1024,1,0.740055
ijk,1024,2,4.46088
transposed,1024,2,0.689127
ikj,1024,2,0.339317
blocked,1024,2,0.292554
blocked_parallel,1024,2,0.314974
2d_tiled_parallel,1024,2,0.396155
ijk,1024,4,2.46009
transposed,1024,4,0.434264
ikj,1024,4,0.213524
blocked,1024,4,0.186115
blocked_parallel,1024,4,0.170097
2d_tiled_parallel,1024,4,0.221775
ijk,1024,8,1.75606
transposed,1024,8,0.298331
ikj,1024,8,0.162132
blocked,1024,8,0.129654
blocked_parallel,1024,8,0.12893
2d_tiled_parallel,1024,8,0.181068
ijk,1024,16,1.32416
transposed,1024,16,0.210736
ikj,1024,16,0.120587
blocked,1024,16,0.108903
blocked_parallel,1024,16,0.11928
2d_tiled_parallel,1024,16,0.155488
ijk,2048,1,176.832
transposed,2048,1,11.0734
ikj,2048,1,6.90033
blocked,2048,1,4.28526
blocked_parallel,2048,1,4.79422
2d_tiled_parallel,2048,1,6.61096
ijk,2048,2,82.6475
transposed,2048,2,5.6364
ikj,2048,2,3.70619
blocked,2048,2,2.50028
blocked_parallel,2048,2,2.32183
2d_tiled_parallel,2048,2,2.8792
ijk,2048,4,60.8431
transposed,2048,4,3.44608
ikj,2048,4,3.2411
blocked,2048,4,1.62844
blocked_parallel,2048,4,1.62692
2d_tiled_parallel,2048,4,2.56222
ijk,2048,8,66.5786
transposed,2048,8,2.49583
ikj,2048,8,1.80633
blocked,2048,8,1.14568
blocked_parallel,2048,8,1.04358
2d_tiled_parallel,2048,8,1.49128
ijk,2048,16,52.6176
transposed,2048,16,1.76141
ikj,2048,16,2.00527
blocked,2048,16,1.03616
blocked_parallel,2048,16,0.917256
2d_tiled_parallel,2048,16,1.1841
